ASD Acronym,Designation,Title of Standard,Abstract,Link,Date
GHWP,GHWP/WG2-WG1-WG3/F001:2024,Change Management to Registered Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45638
GHWP,GHWP/WG1-WG2-WG3/F002:2023,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU),Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45260
GHWP,GHWP/WG2-WG1-WG3/F001:2023,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44973
GHWP,GHWP/WG2-WG1-WG3/F001:2021,Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency ,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44531
GHWP,AHWP/WG1/F002:2020,Handbook for Approval of Patient-matched Medical Devices Using 3D Printers,Visit the link for more information,http://www.ahwp.info/sites/default/files/Final_Guidance_Handbook_for_approval_of_patient-matched_MD_using_3D Printers.pdf,44152
GHWP,AHWP/WG1/F001:2020,Guidance for Minor Change Reporting,Visit the link for more information,http://www.ahwp.info/sites/default/files/Final_Guidance_for_Minor_Change_Reporting.pdf,44152
GHWP,AHWP/WG2-WG1-WG3/F001:2019,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/WG2WG1WG3-F001-2019 - Changes categorisation.pdf,43802
GHWP,AHWP/WG1-WG2-WG3/F002:2019,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU),Visit the link for more information,http://www.ahwp.info/sites/default/files/WG1%2C2%2C3_Principles of Regulatory Requirements for eIFU.pdf,43801
GHWP,AHWP/WG1-WG2/F001: 2017,Regulation and treatment of e-IFU and e-Label of Medical Devices-Review of International Practice,Visit the link for more information,http://ahwp.info/sites/default/files/FINAL_WG1_Regulation and treatment of e-IFU and e-Label of Medical Devices - Review of International Practice_2.pdf,43100
GHWP,AHWP/WG1/F001:2016,Guidance on Regulatory Practices for Combination Products,Visit the link for more information,http://www.ahwp.info/sites/default/files/FINAL_AHWP_WG_Proposed_Final_Comb_ Prod_Guidance-241116.pdf,42700
GHWP,AHWP/WG2-WG1/F001:2016,Definition of the Terms “Medical Device” and “In Vitro Diagnostic (IVD) Medical Device”,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_GHTF SG1 Definition of the Terms.pdf,42700
GHWP,AHWP/WG1/F001:2015,Guidance for Preparation of a Common Submission Dossier Template Dossier for Genera Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/AHWP-WG1-CSDT Guidance_FINAL_0.pdf,42314
GHWP,AHWP/WG1/F002:2015,White Paper on Regulation of Combination Products - A review of International Practice,Visit the link for more information,http://www.ahwp.info/sites/default/files/AHWP-WG1_Regulation of Combination Products - a Review of International Practice_FINAL_0.pdf,42314
GHWP,AHWP/WG2_WG1/F001:2015,Definition of the Terms 'Medical Device' and 'In Vitro Diagnostic (IVD) Medical Device',Visit the link for more information,http://www.ahwp.info/sites/default/files/AHWP-WG2%20%20WG1_MD%20IVD%20definition_FINAL.pdf,42314
GHWP,AHWP/WG1/F001:2014,White Paper on Medical Device -Software Qualification and Classification White Paper,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG1_F001_2014.pdf,21 Nov 2014 
GHWP,GHWP/WG2-WG1-WG3/F001:2024,Change Management to Registered Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45638
GHWP,GHWP/WG2/F001:2023,Guidance for Additional Considerations to support Conformity Assessment of In vitro Companion Diagnostic Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45260
GHWP,GHWP/WG1-WG2-WG3/F002:2023,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45260
GHWP,GHWP/WG2-WG1-WG3/F001:2023,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44973
GHWP,GHWP/WG2 /F001:2021,Replacement Reagent and Instrument Family Policy,Visit the link for more information,http://www.ahwp.info/sites/default/files/Replacement Reagent and Instrument Family Policy.pdf,44531
GHWP,GHWP/WG2-WG5/F001:2021,Clinical Evidence for IVD Medical Devices - Clinical Performance Studies for In Vitro Diagnostic Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/Clinical Evidence for IVD Medical Devices - Clinical Performance Studies for In Vitro Diagnostic Medical Devices.pdf,44531
GHWP,GHWP/WG2-WG1-WG3/F001:2021,Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency ,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44531
GHWP,AHWP/WG2-WG1-WG3/F001:2019,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/WG2WG1WG3-F001-2019 - Changes categorisation.pdf,43802
GHWP,AHWP/WG1-WG2-WG3/F002:2019,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU),Visit the link for more information,http://www.ahwp.info/sites/default/files/WG1%2C2%2C3_Principles of Regulatory Requirements for eIFU.pdf,43801
GHWP,AHWP/WG2/F001:2018,Labelling for In Vitro Diagnostic Medical Devices,Visit the link for more information,http://ahwp.info/sites/default/files/FINAL__Labelling for In Vitro Diagnostic Medical Devices.pdf,43398
GHWP,AHWP/WG1-WG2/F001: 2017,Regulation and treatment of e-IFU and e-Label of Medical Devices-Review of International Practice,Visit the link for more information,http://www.ahwp.info/sites/default/files/FINAL_WG1_Regulation and treatment of e-IFU and e-Label of Medical Devices - Review of International Practice_2.pdf,43100
GHWP,AHWP/WG2/F001:2017,Guidance for Additional Considerations to support Conformity Assessment of Companion In vitro Diagnostic Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/FINAL_WG2_Guidance for Additional Considerations to support Conformity Assessment of Companion In vitro Diagnostic Medi.pdf,42982
GHWP,AHWP/WG2/F001:2016,Principles of In Vitro Diagnostic (IVD) Medical Devices Classification,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_01_GHWP-WG2-WD001-2016 IVD classification_20160912.pdf,42700
GHWP,AHWP/WG2/F002:2016,Principles of Conformity Assessment for In Vitro Diagnostic (IVD) Medical Devices,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_02_GHWP-WG2-WD002-2016 CA for IVD_ 20160912.pdf,42700
GHWP,AHWP/WG2/F003:2016,Submission Dossier for Demonstrating Conformity to the Essential Principles of Safety and Performance of In Vitro Diagnostic Medical Devices,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_03_GHWP-WG2-WD003-2016 IVD Submission Dossier__20160912.pdf,42700
GHWP,AHWP/WG2-WG1/F001:2016,Definition of the Terms “Medical Device” and “In Vitro Diagnostic (IVD) Medical Device”,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_GHTF SG1 Definition of the Terms.pdf,42700
GHWP,AHWP/WG2/F001:2014,Comparison between CSDT and STED IVDDs,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG2_F001_2014.pdf,45617
GHWP,AHWP/WG2-WG8/F002:2014,Role of Standards in the Assessment of Medical Devices,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG2_WG8_F002_2014.pdf,21 Nov 2014 
GHWP,AHWP/WG1a/F004:2013,Comparison between the GHTF Summary Technical Documentation (STED) formats for Medical Devices and In Vitro Diagnostic Medical Devices and the Common Submission Dossier Template (CSDT) format,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG1a_F004_2013.pdf,﻿6 Dec 2013
GHWP, AHWP/WG1a/F002:2013,Essential Principles of Safety and Performance of IVD Medical Devices,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG1a_F002_2013.pdf,﻿6 Dec 2013
GHWP,AHWP/WG1a/F001:2013,GHWP Regulatory Framework for IVD Medical Devices,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG1a_F001_2013.pdf,﻿6 Dec 2013
GHWP,GHWP/WG3/F001:2024,Software as a Medical Device (SaMD) Pre-Market Submission Requirement – Comparison of requirement from Key jurisdictions,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45638
GHWP,GHWP/WG2-WG1-WG3/F001:2024,Change Management to Registered Medical Devices,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45638
GHWP,GHWP/WG1-WG2-WG3/F002:2023,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU),Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,45260
GHWP,GHWP/WG2-WG1-WG3/F001:2023,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44973
GHWP,GHWP/WG2-WG1-WG3/F001:2021,Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency ,Visit the link for more information,http://www.ahwp.info/sites/default/files/Regulatory Mechanism for Medical Devices Including In Vitro Diagnostic Medical Devices and Software as Medical Devices During A Public Health Emergency.pdf,44531
GHWP,AHWP/WG2-WG1-WG3/F001:2019,Categorisation of Changes to a Registered Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/WG2WG1WG3-F001-2019 - Changes categorisation.pdf,43802
GHWP,AHWP/WG1-WG2-WG3/F002:2019,Principles of Regulatory Requirements for Electronic Instructions for Use (eIFU),Visit the link for more information,http://www.ahwp.info/sites/default/files/WG1%2C2%2C3_Principles of Regulatory Requirements for eIFU.pdf,43801
GHWP,AHWP/WG3/F001:2016,Guidance document on Risk Categorisation of Software as a Medical Device,Visit the link for more information,http://www.ahwp.info/sites/default/files/FINAL_AHWP-WG3-SaMD-002_Risk Categorisation of SaMD Final %282%29 SR.pdf,42700
GHWP,AHWP/WG3/F001:2015,Guidance Document on Medical Device Software - Qualification and Classification,Visit the link for more information,http://www.ahwp.info/sites/default/files/AHWP-WG3_Guidance document on Medical Device Software_FINAL_0.pdf,42314
GHWP,GHWP/WG4/F002:2024,Guidelines for Adverse Event Reporting of Percutaneous Coronary Intervention (PCI) devices for the Medical Device Manufacturer or its Authorized Representative ,Visit the link for more information,http://www.ahwp.info/sites/default/files/%28Final%29 Guidelines for Adverse Event Reporting of Percutaneous Coronary Intervention %28PCI%29 devices for the Medical Device Manufacturer or its Authorized Representative.pdf,45638
GHWP,GHWP/WG4/F001:2024,Adverse Event Reporting Guidance for the Medical Device Manufacturer or its Authorized Representative,Visit the link for more information,http://www.ahwp.info/sites/default/files/%28Final%29 Adverse Event Reporting Guidance for the Medical Device Manufacturer or its Authorized Representative.pdf,45638
GHWP,GHWP/WG4/F001:2023,Post Market Resource Center,Visit the link for more information,http://www.ahwp.info/sites/default/files/WG4-GHWP Post Market Resource Centre 2023_ GHWP_WG4_P001_2023 %28Final%29_0.pdf,45255
GHWP,AHWP/WG4/F001:2016,Guidelines for Adverse Event Reporting of Percutaneous Coronary Intervention (PCI) devices for the Medical Device Manufacturer or its Authorized Representative,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/FINAL_Guidelines for adverse event reporting of PCI device_20161013.pdf,42700
GHWP,AHWP/WG4/F002:2016,Post Market Resource Center,Visit the link for more information,https://www.ahwp.info/sites/default/files/FINAL_Post market resource center.pdf,42700
GHWP,AHWP/WG4/F003:2016,GHWP Safety Alert Dissemination System (SADS),Visit the link for more information,https://www.ahwp.info/sites/default/files/FINAL_GHWP-WG4-SADS_Draft(20161117).pdf,42700
GHWP,AHWP/WG4/F001:2015,Adverse Event Reporting Guidance for the Medical Device Manufacturer or its Authorized Representatives,Visit the link for more information,http://www.ahwp.info/sites/default/files/AHWP-WG4-AE Reporting-FINAL_0.pdf,42314
GHWP,AHWP/WG4/F001:2014,Adverse Event Reporting Timelines Guidance for Medical Device Manufacturer and its Authorised Representative,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG4_F001_2014.pdf,45617
GHWP,AHWP/WG2/F001:2013,Adverse Event Reporting Guidance for the Medical Device Manufacturer or its Authorized Representative,Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/Final_GHWP_WG2_F001_2013.pdf,﻿6 Dec 2013
GHWP,AHWP/WG2/F002:2012,"Definition and Classification of Field Corrective Actions, including Field Safety Corrective Actions, Recalls and Non Safety related Field Corrective Actions",Visit the link for more information,https://www.ahwp.info/sites/default/files/2017-07/GHWP-WG2-PMS-003_FINAL.pdf,41233
